window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,240,≥250,250,0,127,0,3510479,0,0,,1,0
24,264,≥0.1,0.1,930032,175323,1252591,3510234,0.394425,0.841388,0.573893,0.158612,1.97459
24,264,≥10,10,103390,169467,274547,3510234,0.188873,0.378916,0.726436,0.621084,1.38511
24,264,≥25,25,13957,86709,53753,3510234,0.090384,0.138647,0.793871,0.861353,0.67262
24,264,≥50,50,1259,27098,6871,3510234,0.0357386,0.0443982,0.845141,0.955602,0.286702
24,264,≥100,100,39,4210,379,3510234,0.00842697,0.00917863,0.906699,0.990821,0.0983761
24,264,≥250,250,0,127,0,3510234,0,0,,1,0
24,288,≥0.1,0.1,912982,192308,1279693,3510174,0.382804,0.826011,0.583622,0.173989,1.9838
24,288,≥10,10,94919,177935,274880,3510174,0.173294,0.347875,0.743323,0.652125,1.3553
24,288,≥25,25,12223,88441,52909,3510174,0.0795908,0.121424,0.812335,0.878576,0.647024
24,288,≥50,50,969,27388,7043,3510174,0.0273729,0.0341715,0.879056,0.965829,0.28254
24,288,≥100,100,9,4239,783,3510174,0.00178891,0.00211864,0.988636,0.997881,0.186441
24,288,≥250,250,0,126,0,3510174,0,0,,1,0
24,312,≥0.1,0.1,899770,205070,1312554,3510175,0.372207,0.814389,0.593292,0.185611,2.00239
24,312,≥10,10,82621,190219,267875,3510175,0.1528,0.302819,0.764274,0.697181,1.28462
24,312,≥25,25,9656,91010,48509,3510175,0.0647293,0.0959212,0.83399,0.904079,0.577802
24,312,≥50,50,574,27783,5894,3510175,0.0167586,0.0202419,0.911255,0.979758,0.228092
24,312,≥100,100,10,4238,555,3510175,0.00208203,0.00235405,0.982301,0.997646,0.133004
24,312,≥250,250,0,126,0,3510175,0,0,,1,0
24,336,≥0.1,0.1,902845,201397,1356101,3510241,0.366959,0.817615,0.600325,0.182385,2.0457
24,336,≥10,10,76084,196721,290651,3510241,0.135031,0.278895,0.792537,0.721105,1.34431
24,336,≥25,25,7901,92757,53745,3510241,0.0511713,0.0784935,0.871833,0.921506,0.61243
24,336,≥50,50,517,27840,6367,3510241,0.0148888,0.0182318,0.924898,0.981768,0.242762
24,336,≥100,100,0,4248,588,3510241,0,0,1,1,0.138418
24,336,≥250,250,0,126,0,3510241,0,0,,1,0
24,360,≥0.1,0.1,899432,205683,1382565,3510270,0.361555,0.813881,0.605858,0.186119,2.06494
24,360,≥10,10,81458,191479,319718,3510270,0.137446,0.29845,0.796952,0.70155,1.46985
24,360,≥25,25,9240,91420,61211,3510270,0.0570825,0.0917942,0.868845,0.908206,0.699891
24,360,≥50,50,400,27957,6415,3510270,0.0115035,0.0141059,0.941306,0.985894,0.240329
24,360,≥100,100,3,4245,489,3510270,0.000633312,0.000706215,0.993902,0.999294,0.115819
24,360,≥250,250,0,126,0,3510270,0,0,,1,0
