window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,78,≥4,4,0.906081,0.0324937,0.0356291,0.088002,0.0387835,3.64923e+06,
6,78,≥13,13,0.808891,0.0108613,0.0117369,0.0746048,0.0122108,3.64923e+06,
6,78,≥25,25,0.671904,0.00407828,0.00414747,0.0166815,0.00423158,3.64923e+06,
6,78,AVG,,0.809327,0.0647959,,-0.144623,,,4
6,84,≥0.1,0.1,0.86872,0.191447,0.121379,-0.577261,0.158012,3.65335e+06,
6,84,≥4,4,0.892832,0.0402892,0.0403843,0.00235512,0.044783,3.65335e+06,
6,84,≥13,13,0.740502,0.0133268,0.0137357,0.0297679,0.0144098,3.65335e+06,
6,84,≥25,25,0.605229,0.00496952,0.00495341,-0.00325103,0.00507535,3.65335e+06,
6,84,AVG,,0.776821,0.0625081,,-0.137097,,,4
6,90,≥0.1,0.1,0.88203,0.131804,0.119376,-0.104111,0.151968,3.64349e+06,
6,90,≥4,4,0.866797,0.0323841,0.0348474,0.0706884,0.0374712,3.64349e+06,
6,90,≥13,13,0.727346,0.0108483,0.0109832,0.0122765,0.0113383,3.64349e+06,
6,90,≥25,25,0.622595,0.00401989,0.00400071,-0.00479419,0.00407247,3.64349e+06,
6,90,AVG,,0.774692,0.0447641,,-0.00648504,,,4
6,96,≥0.1,0.1,0.882216,0.132039,0.12641,-0.0445292,0.166159,3.64022e+06,
6,96,≥4,4,0.894547,0.0342162,0.0389708,0.122004,0.042618,3.64022e+06,
6,96,≥13,13,0.799998,0.0126898,0.0136661,0.0714388,0.0142519,3.64022e+06,
6,96,≥25,25,0.691711,0.00521677,0.00531032,0.0176154,0.00543374,3.64022e+06,
6,96,AVG,,0.817118,0.0460405,,0.0416323,,,4
6,102,≥0.1,0.1,0.83991,0.211819,0.120692,-0.755036,0.154091,3.63923e+06,
6,102,≥4,4,0.893408,0.0342274,0.0357206,0.0418024,0.0388843,3.63923e+06,
6,102,≥13,13,0.792855,0.0111135,0.0117692,0.0557086,0.0122443,3.63923e+06,
6,102,≥25,25,0.66704,0.00411154,0.00415886,0.0113771,0.0042432,3.63923e+06,
6,102,AVG,,0.798303,0.065318,,-0.161537,,,4
6,108,≥0.1,0.1,0.85688,0.190868,0.121657,-0.568904,0.158406,3.64333e+06,
6,108,≥4,4,0.882439,0.0414276,0.0404939,-0.0230584,0.0449053,3.64333e+06,
6,108,≥13,13,0.741949,0.0135506,0.0137732,0.0161622,0.0144491,3.64333e+06,
6,108,≥25,25,0.610844,0.00498104,0.00496676,-0.00287422,0.00508902,3.64333e+06,
6,108,AVG,,0.773028,0.0627068,,-0.144668,,,4
6,114,≥0.1,0.1,0.869563,0.133804,0.119655,-0.118253,0.152362,3.63351e+06,
6,114,≥4,4,0.860055,0.0331364,0.0349421,0.0516763,0.0375739,3.63351e+06,
6,114,≥13,13,0.72055,0.0109344,0.0110133,0.00716499,0.0113695,3.63351e+06,
6,114,≥25,25,0.621886,0.00402783,0.0040117,-0.00402165,0.00408366,3.63351e+06,
6,114,AVG,,0.768014,0.0454757,,-0.0158584,,,4
6,120,≥0.1,0.1,0.870843,0.133152,0.1267,-0.0509267,0.166584,3.63027e+06,
6,120,≥4,4,0.885299,0.0353335,0.0390761,0.095779,0.0427343,3.63027e+06,
6,120,≥13,13,0.794833,0.0129779,0.0137033,0.0529368,0.0142907,3.63027e+06,
6,120,≥25,25,0.694642,0.00526383,0.00532462,0.0114165,0.00544836,3.63027e+06,
6,120,AVG,,0.811404,0.0466819,,0.0273014,,,4
6,126,≥0.1,0.1,0.827343,0.210067,0.12095,-0.736813,0.154453,3.62925e+06,
6,126,≥4,4,0.881979,0.0349715,0.0358178,0.023627,0.038991,3.62925e+06,
6,126,≥13,13,0.786084,0.0112079,0.0118015,0.0502955,0.012278,3.62925e+06,
6,126,≥25,25,0.662351,0.00410715,0.0041703,0.015143,0.00425488,3.62925e+06,
6,126,AVG,,0.789439,0.0650885,,-0.161937,,,4
6,132,≥0.1,0.1,0.841063,0.191672,0.121926,-0.572044,0.158789,3.63334e+06,
6,132,≥4,4,0.868808,0.0421737,0.0406034,-0.0386758,0.0450275,3.63334e+06,
6,132,≥13,13,0.723571,0.0137644,0.0138108,0.00335691,0.0144886,3.63334e+06,
6,132,≥25,25,0.602417,0.00501812,0.00498016,-0.0076212,0.00510275,3.63334e+06,
6,132,AVG,,0.758965,0.0631572,,-0.153746,,,4
6,138,≥0.1,0.1,0.852956,0.135256,0.119899,-0.128089,0.152701,3.62353e+06,
6,138,≥4,4,0.840486,0.0339811,0.0350369,0.0301342,0.0376768,3.62353e+06,
6,138,≥13,13,0.705104,0.0110606,0.0110436,-0.00153842,0.0114007,3.62353e+06,
6,138,≥25,25,0.607662,0.00403535,0.00402274,-0.00313541,0.0040949,3.62353e+06,
6,138,AVG,,0.751552,0.0460834,,-0.0256572,,,4
6,144,≥0.1,0.1,0.855369,0.135303,0.126908,-0.0661452,0.166897,3.62032e+06,
6,144,≥4,4,0.866537,0.0367789,0.0391789,0.0612582,0.0428481,3.62032e+06,
6,144,≥13,13,0.781878,0.0133386,0.0137407,0.0292582,0.0143297,3.62032e+06,
6,144,≥25,25,0.672033,0.00532469,0.00533898,0.00267693,0.00546305,3.62032e+06,
6,144,AVG,,0.793954,0.0476862,,0.00676204,,,4
