window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,84,≥13,13,0.740502,0.013335,,0.0610585,0.0144098,3.65335e+06,
6,84,≥25,25,0.605229,0.00497688,,0.0143982,0.00507535,3.65335e+06,
6,84,AVG,,0.776821,0.0625228,,-0.0764229,,,4
6,90,≥0.1,0.1,0.88203,0.131856,,-0.0231363,0.151968,3.64349e+06,
6,90,≥4,4,0.866797,0.032418,,0.101175,0.0374712,3.64349e+06,
6,90,≥13,13,0.727346,0.0108567,,0.0314957,0.0113383,3.64349e+06,
6,90,≥25,25,0.622595,0.00402397,,0.00786765,0.00407247,3.64349e+06,
6,90,AVG,,0.774692,0.0447886,,0.0293506,,,4
6,96,≥0.1,0.1,0.882216,0.132079,,0.0467061,0.166159,3.64022e+06,
6,96,≥4,4,0.894547,0.0342339,,0.160969,0.042618,3.64022e+06,
6,96,≥13,13,0.799998,0.0126942,,0.0964171,0.0142519,3.64022e+06,
6,96,≥25,25,0.691711,0.00521907,,0.0342578,0.00543374,3.64022e+06,
6,96,AVG,,0.817118,0.0460566,,0.0845875,,,4
6,102,≥0.1,0.1,0.83991,0.211854,,-0.625307,0.154091,3.63923e+06,
6,102,≥4,4,0.893408,0.0342271,,0.0841597,0.0388843,3.63923e+06,
6,102,≥13,13,0.792855,0.0111158,,0.0809143,0.0122443,3.63923e+06,
6,102,≥25,25,0.66704,0.0041143,,0.0262464,0.0042432,3.63923e+06,
6,102,AVG,,0.798303,0.0653277,,-0.108497,,,4
6,108,≥0.1,0.1,0.85688,0.190904,,-0.431997,0.158406,3.64333e+06,
6,108,≥4,4,0.882439,0.0414287,,0.0340439,0.0449053,3.64333e+06,
6,108,≥13,13,0.741949,0.0135588,,0.0478631,0.0144491,3.64333e+06,
6,108,≥25,25,0.610844,0.00498824,,0.014789,0.00508902,3.64333e+06,
6,108,AVG,,0.773028,0.06272,,-0.0838253,,,4
6,114,≥0.1,0.1,0.869563,0.133853,,-0.0364321,0.152362,3.63351e+06,
6,114,≥4,4,0.860055,0.0331714,,0.0827031,0.0375739,3.63351e+06,
6,114,≥13,13,0.72055,0.0109436,,0.0263852,0.0113695,3.63351e+06,
6,114,≥25,25,0.621886,0.00403226,,0.00853587,0.00408366,3.63351e+06,
6,114,AVG,,0.768014,0.0455,,0.020298,,,4
6,120,≥0.1,0.1,0.870843,0.133189,,0.0406586,0.166584,3.63027e+06,
6,120,≥4,4,0.885299,0.0353535,,0.135783,0.0427343,3.63027e+06,
6,120,≥13,13,0.794833,0.0129831,,0.0783281,0.0142907,3.63027e+06,
6,120,≥25,25,0.694642,0.00526644,,0.028094,0.00544836,3.63027e+06,
6,120,AVG,,0.811404,0.046698,,0.0707159,,,4
6,126,≥0.1,0.1,0.827343,0.210103,,-0.608785,0.154453,3.62925e+06,
6,126,≥4,4,0.881979,0.0349719,,0.0666866,0.038991,3.62925e+06,
6,126,≥13,13,0.786084,0.0112108,,0.0755695,0.012278,3.62925e+06,
6,126,≥25,25,0.662351,0.00410993,,0.0299383,0.00425488,3.62925e+06,
6,126,AVG,,0.789439,0.065099,,-0.109148,,,4
6,132,≥0.1,0.1,0.841063,0.191715,,-0.43526,0.158789,3.63334e+06,
6,132,≥4,4,0.868808,0.0421749,,0.0191895,0.0450275,3.63334e+06,
6,132,≥13,13,0.723571,0.0137723,,0.0354641,0.0144886,3.63334e+06,
6,132,≥25,25,0.602417,0.00502509,,0.0101672,0.00510275,3.63334e+06,
6,132,AVG,,0.758965,0.0631717,,-0.0926099,,,4
6,138,≥0.1,0.1,0.852956,0.135309,,-0.0457928,0.152701,3.62353e+06,
6,138,≥4,4,0.840486,0.034014,,0.0618709,0.0376768,3.62353e+06,
6,138,≥13,13,0.705104,0.011071,,0.0177271,0.0114007,3.62353e+06,
6,138,≥25,25,0.607662,0.00403989,,0.00937784,0.0040949,3.62353e+06,
6,138,AVG,,0.751552,0.0461083,,0.0107958,,,4
6,144,≥0.1,0.1,0.855369,0.135354,,0.0265279,0.166897,3.62032e+06,
6,144,≥4,4,0.866537,0.0368044,,0.102599,0.0428481,3.62032e+06,
6,144,≥13,13,0.781878,0.0133451,,0.0551657,0.0143297,3.62032e+06,
6,144,≥25,25,0.672033,0.00532733,,0.0194861,0.00546305,3.62032e+06,
6,144,AVG,,0.793954,0.0477076,,0.0509446,,,4
6,150,≥0.1,0.1,0.813641,0.208784,,-0.59675,0.154682,3.61927e+06,
6,150,≥4,4,0.865476,0.0356725,,0.0503088,0.0390902,3.61927e+06,
6,150,≥13,13,0.776478,0.0114243,,0.0605232,0.0123119,3.61927e+06,
6,150,≥25,25,0.649205,0.00417571,,0.0171118,0.00426661,3.61927e+06,
6,150,AVG,,0.7762,0.0650141,,-0.117201,,,4
6,156,≥0.1,0.1,0.824859,0.191726,,-0.433836,0.158995,3.62334e+06,
6,156,≥4,4,0.854452,0.0429494,,0.00374691,0.0451494,3.62334e+06,
6,156,≥13,13,0.722387,0.0139662,,0.0245179,0.0145283,3.62334e+06,
6,156,≥25,25,0.587644,0.00506753,,0.00448622,0.00511654,3.62334e+06,
6,156,AVG,,0.747335,0.0634273,,-0.100271,,,4
6,162,≥0.1,0.1,0.835314,0.137348,,-0.0605873,0.152872,3.61356e+06,
6,162,≥4,4,0.822848,0.0353833,,0.0266217,0.0377782,3.61356e+06,
6,162,≥13,13,0.700953,0.0112527,,0.00426759,0.0114317,3.61356e+06,
6,162,≥25,25,0.608747,0.0040769,,0.00297407,0.00410592,3.61356e+06,
6,162,AVG,,0.741965,0.0470153,,-0.00668098,,,4
6,168,≥0.1,0.1,0.838658,0.13796,,0.00875645,0.167102,3.61038e+06,
6,168,≥4,4,0.852714,0.0380537,,0.0744734,0.0429614,3.61038e+06,
6,168,≥13,13,0.772378,0.0135967,,0.039908,0.0143683,3.61038e+06,
6,168,≥25,25,0.66667,0.00537196,,0.0139247,0.00547782,3.61038e+06,
6,168,AVG,,0.782605,0.0487456,,0.0342657,,,4
6,174,≥0.1,0.1,0.796179,0.20903,,-0.597391,0.154829,3.6093e+06,
6,174,≥4,4,0.850049,0.0367271,,0.0245304,0.0391863,3.6093e+06,
6,174,≥13,13,0.757895,0.0117261,,0.0381987,0.0123442,3.6093e+06,
6,174,≥25,25,0.636154,0.00421718,,0.0100093,0.00427812,3.6093e+06,
6,174,AVG,,0.760069,0.0654252,,-0.131163,,,4
6,180,≥0.1,0.1,0.807336,0.191179,,-0.428501,0.159165,3.61336e+06,
6,180,≥4,4,0.841863,0.0432707,,-0.00148478,0.0452546,3.61336e+06,
6,180,≥13,13,0.723271,0.0140471,,0.0214396,0.0145671,3.61336e+06,
6,180,≥25,25,0.592432,0.0050845,,0.00389093,0.00513068,3.61336e+06,
6,180,AVG,,0.741226,0.0633952,,-0.101164,,,4
6,186,≥0.1,0.1,0.812838,0.140414,,-0.083467,0.153009,3.60358e+06,
6,186,≥4,4,0.808048,0.0356348,,0.0219388,0.0378681,3.60358e+06,
6,186,≥13,13,0.684066,0.0112753,,0.00494446,0.0114628,3.60358e+06,
6,186,≥25,25,0.588282,0.00408306,,0.00414738,0.00411701,3.60358e+06,
6,186,AVG,,0.723308,0.0478519,,-0.0131091,,,4
6,192,≥0.1,0.1,0.816176,0.141936,,-0.0192181,0.167224,3.60043e+06,
6,192,≥4,4,0.829503,0.0390627,,0.0515446,0.0430379,3.60043e+06,
6,192,≥13,13,0.752429,0.0138557,,0.0242585,0.0144077,3.60043e+06,
6,192,≥25,25,0.649351,0.00541524,,0.00865227,0.00549267,3.60043e+06,
6,192,AVG,,0.761865,0.0500675,,0.0163093,,,4
