window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,288,≥10,10,54729,218261,115675,3539952,0.140813,0.20048,0.678828,0.79952,0.624213
24,288,≥25,25,1427,99242,2896,3539952,0.0137788,0.0141752,0.669905,0.985825,0.0429427
24,288,≥50,50,0,28358,0,3539952,0,0,,1,0
24,288,≥100,100,0,4248,0,3539952,0,0,,1,0
24,312,≥0.1,0.1,1091807,15003,2059117,3530039,0.344862,0.986445,0.653496,0.0135552,2.84685
24,312,≥10,10,42803,230169,94480,3530039,0.116486,0.156804,0.688213,0.843196,0.50292
24,312,≥25,25,870,99798,1131,3530039,0.00854625,0.00864227,0.565217,0.991358,0.0198772
24,312,≥50,50,1,28356,0,3530039,3.52647e-05,3.52647e-05,0,0.999965,3.52647e-05
24,312,≥100,100,0,4248,0,3530039,0,0,,1,0
24,336,≥0.1,0.1,1094216,11506,2119918,3520176,0.339224,0.989594,0.659561,0.0104059,2.90682
24,336,≥10,10,35800,237137,80228,3520176,0.101369,0.131166,0.691454,0.868834,0.425109
24,336,≥25,25,507,100153,617,3520176,0.00500607,0.00503676,0.548932,0.994963,0.0111663
24,336,≥50,50,0,28357,0,3520176,0,0,,1,0
24,336,≥100,100,0,4248,0,3520176,0,0,,1,0
24,360,≥0.1,0.1,1094692,10423,2169743,3510270,0.334272,0.990568,0.664661,0.0094316,2.95393
24,360,≥10,10,31426,241511,69658,3510270,0.0917293,0.11514,0.68911,0.88486,0.370357
24,360,≥25,25,208,100452,254,3510270,0.00206116,0.00206636,0.549784,0.997934,0.00458971
24,360,≥50,50,0,28357,0,3510270,0,0,,1,0
24,360,≥100,100,0,4248,0,3510270,0,0,,1,0
