window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,264,≥0.1,0.1,852223,256016,943191,3549857,0.415429,0.768988,0.525333,0.231012,1.62006
24,264,≥10,10,60837,212160,109310,3549857,0.159131,0.222849,0.642444,0.777151,0.623256
24,264,≥25,25,5017,95656,13969,3549857,0.0437623,0.0498346,0.735753,0.950165,0.188591
24,264,≥50,50,205,28154,508,3549857,0.00710153,0.00722875,0.712482,0.992771,0.0251419
24,264,≥100,100,0,4249,29,3549857,0,0,1,1,0.00682514
24,264,≥250,250,0,127,0,3549857,0,0,,1,0
24,288,≥0.1,0.1,836793,271010,970434,3539952,0.402646,0.755363,0.536974,0.244637,1.63136
24,288,≥10,10,49367,223623,108265,3539952,0.129486,0.180838,0.686821,0.819162,0.577428
24,288,≥25,25,3174,97495,11006,3539952,0.0284218,0.0315291,0.776164,0.968471,0.140858
24,288,≥50,50,154,28204,689,3539952,0.00530175,0.00543057,0.817319,0.994569,0.0297271
24,288,≥100,100,0,4248,4,3539952,0,0,1,1,0.00094162
24,288,≥250,250,0,126,0,3539952,0,0,,1,0
24,312,≥0.1,0.1,826913,279897,1017252,3530039,0.389307,0.747114,0.551606,0.252886,1.6662
24,312,≥10,10,46001,226971,113779,3530039,0.118942,0.168519,0.712098,0.831481,0.585335
24,312,≥25,25,3496,97172,13370,3530039,0.0306564,0.034728,0.792719,0.965272,0.167541
24,312,≥50,50,158,28199,823,3530039,0.00541467,0.00557182,0.83894,0.994428,0.0345946
24,312,≥100,100,4,4244,41,3530039,0.000932618,0.00094162,0.911111,0.999058,0.0105932
24,312,≥250,250,0,126,0,3530039,0,0,,1,0
24,336,≥0.1,0.1,828568,277154,1061161,3520176,0.382378,0.749346,0.561541,0.250654,1.70905
24,336,≥10,10,40703,232234,114067,3520176,0.105175,0.14913,0.73701,0.85087,0.567054
24,336,≥25,25,3063,97597,13551,3520176,0.0268188,0.0304292,0.815637,0.969571,0.165051
24,336,≥50,50,122,28235,985,3520176,0.00415786,0.00430229,0.889792,0.995698,0.039038
24,336,≥100,100,2,4246,29,3520176,0.000467617,0.00047081,0.935484,0.999529,0.00729755
24,336,≥250,250,0,126,0,3520176,0,0,,1,0
24,360,≥0.1,0.1,822221,282894,1100486,3510270,0.372788,0.744014,0.572363,0.255986,1.73983
24,360,≥10,10,40469,232468,112102,3510270,0.105104,0.148272,0.734753,0.851728,0.558997
24,360,≥25,25,2633,98027,12753,3510270,0.023216,0.0261574,0.82887,0.973843,0.152851
24,360,≥50,50,58,28299,741,3510270,0.00199326,0.00204535,0.927409,0.997955,0.0281765
24,360,≥100,100,1,4247,59,3510270,0.00023218,0.000235405,0.983333,0.999765,0.0141243
24,360,≥250,250,0,126,0,3510270,0,0,,1,0
